名称,author,desc,commit,score
活着,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994 / 中国大陆 中国香港 / 剧情 历史 家庭,755891人评价,9.3
摔跤吧！爸爸,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...,2016 / 印度 / 剧情 传记 运动 家庭,1445349人评价,9.0
龙猫,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988 / 日本 / 动画 奇幻 冒险,1162547人评价,9.2
十二怒汉,导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957 / 美国 / 剧情,437138人评价,9.4
末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史,784225人评价,9.3
哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,2004 / 日本 / 动画 奇幻 冒险,922476人评价,9.1
猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...,2002 / 美国 加拿大 / 传记 犯罪 剧情,894394人评价,9.1
蝙蝠侠：黑暗骑士,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,969281人评价,9.2
我不是药神,导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018 / 中国大陆 / 剧情 喜剧,1926680人评价,9.0
天空之城,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986 / 日本 / 动画 奇幻 冒险,754972人评价,9.1
钢琴家,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,2002 / 英国 法国 波兰 德国 / 剧情 传记 战争 音乐,553744人评价,9.3
闻香识女人,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,1992 / 美国 / 剧情,799270人评价,9.1
